|text|tensor|score
78|Книга не заслуживает такого внимания, которое ей оказано! Я зря потратил время, прочитав ее...|[-8.315545  -9.76468   -8.341296  ... -8.586908  -4.3491907 -5.770938 ]|3
79|Боже, какая нудятина!Тоска смертная.|[-9.341665  -9.16766   -8.209208  ... -7.8490434 -7.828758  -9.988784 ]|3
80|Слишком плоско, для погружения мало места.|"[ -7.9876957 -11.5196905  -9.748783  ...  -8.876877   -3.633317
  -1.1510987]"|3
81|Ну что-же, фанатов вышеупомянутых авторов ничто не остановит, а нормальным людям рекомендую читать не отрывки из произведений, многие из которых оставляют неприятное чувство недосказанности, а сами книги. А вообще-то ВСЕ вещи, включенные в книгу, кажутся сделанными по общей кальке с немногими вариациями. Герой обычно женщина, пока ещё не хромой американский негр с уклоном в голубизну. Периодически она должна вступать в единоборства, желательно с противоположным полом и непременно побеждать. Также обязателен непритязательный юмор и непременная победа т.н. добра по американски. Великие озёра крови в отрывках, очевидно, обязательно трансформируются в моря в полных текстах. Возможно, тот факт, что в этой книге приведены как раз отрывки, даёт это всё отметить с большей отчётливостью. Мозг не устаёт от долгого чтения. Короче, пора бросать читать эту жвачку для кокосов - она имеет чисто нацональное направление - оправдать существование их общества на принципах - кто украл, тот и прав. В каждом произведении герой ОБЯЗАТЕЛЬНО обладаетель некоего умения, которое появилось у него не за что-то, а просто так, по праву рождения, или там за красивые глазки. В наших сказках такие - на местах Емель-Иванушек - дурачков и иже с ними. У них в новых сказках - это благородные герои, которые ВСЕГДА оправдывают выбор бога. Подтекст нехитрый - выдающаяся личность (читай - богатая в реалиях их, а теперь и нашей, жизни) - и есть тот, кого надо слушать, обожествлять, надеяться и ни в коем случае не подвергать сомнению. Отдельного мнения заслуживает труд переводчиков - вот к нему претензий нет. Переведено ОЧЕНЬ хорошо. Даже возникло ощущение, что переводы ЛУЧШЕ оригиналов, уж очень они близки по качеству и читать их приятно. Засим прощаюсь. Удачи. PS. Кстати, сама Лэки Мерседес вполне соответсвует канве вышеизложенного. Её герольды имеют некий дар от рождения, но используют его, естественно, в благородных целях. В прочих - НИ-НИ.|[-5.957349  -8.56678   -8.385103  ... -6.2784963 -3.326438  -6.8033857]|3
82|Текст.|[-8.161814  -9.293823  -7.6699305 ... -8.757877  -5.0205355 -7.854309 ]|3
83|Клюква развесистая. Отлично подходит для транспорта.|[-7.5153117 -9.2948    -8.60654   ... -9.254888  -4.739233  -3.1465223]|3
84|"Американизированная духовность за 10 минут... Сомнительные ""кельтские"" знания, не цельный текст. Книга скорее вредна, слишком уж много искажений, неточностей и явных выдумок автора. Хотя, три-четыре абзаца были даже ""съедобны""."|[-8.06195   -9.44973   -8.816672  ... -6.8238726 -4.0453973 -4.82284  ]|3
85|Лубочное фэнтази.|[-8.292989  -8.779912  -8.952771  ... -6.2061167 -6.4699693 -6.966358 ]|3
86|Скучно и временами заставляешь себя читать, не всегда вчитываясь в текст - думаешь о чем-то о своем. Вобщем не затягивает книга. Хотя взгляд на общеизвестные вещи интересен. Сталин предстает не то, чтобы ангел, но и не пропавший бес.|"[ -9.948279  -10.202274   -9.668181  ...  -8.585448   -6.324766
  -7.6093044]"|3
87|Ничего умного не написано! Смысл книги зарыт очень глубоко. Читается быстро.но не интересная.|[-7.6966195 -9.158887  -8.21814   ... -6.2056403 -2.6297271 -6.8604608]|3
88|"Имхо, Оксана пишет плохо. Длина мысли равна длине предложения, никаких тебе литературных изысков. Вот вам и ""скромное обаяние буржуазии""... А вообще, безобразие, конечно. Никуда не годится..."|[-7.3465962 -7.785486  -7.6648035 ... -8.940346  -3.7763267 -6.8168054]|3
89|Однообразно... у автора явно заскок... если сюжет, описанный 1 раз интересен, то один и тот же сюжет в каждой книге - паранойя...|"[ -9.056339   -9.355043   -9.159153  ... -10.199067   -3.0831437
  -7.7843637]"|3
90|Такое фуфло.|[-11.168758 -12.754855 -11.378202 ... -10.66293  -10.511883  -9.340303]|3
91|"бесполезная трата времени и денег на эту книгу. Как бедная и несчастная ""девушка"" не могла выйти замуж, (а ведь кандидат был), о том как она не поймет жизнь и поступки своей матери, и ее подруг. чушь полная."|[ -8.951093 -10.12589   -8.968224 ...  -9.532432  -5.369011  -8.991308]|3
92|"Одна из немногих в творчестве Белянина, про которую я могу сказать -""Это ужасно!"""|[-10.199527 -11.219017 -10.019875 ...  -9.383429  -5.118315  -7.058684]|3
93|Ниже среднего, да и по стилю чуствуется, что от Белянина скорее только имя на обложке. Пиар, так-сказать|[-7.3749037 -8.372675  -7.800456  ... -6.6136093 -4.454083  -7.084894 ]|3
94|Совершенно нечетабельное произведение, на мой взгляд. 1/3 я еще осилила, но дальше... Все эти названия, имена и т.д. - смесь чего-то непонятного|"[ -9.144158  -11.393615  -10.5047245 ...  -9.525025   -5.8461823
  -6.8456683]"|3
95|При прочтении возникает чувство, что автор произведения (или переводчик) начал писать это в возрасте лет двеннадцати. Язык бедный, герои картонные, история банальная и скучная... Тьфу, одним словом.|[-6.8546767 -7.901959  -7.8926425 ... -7.8725405 -3.5272114 -5.1887603]|3
96|Отвратительная концовка. После прочтения оной возникает мысль что читатель(читай меня) просто жестоко накололи, если не сказть хуже. Такое ощущение, что автор писал-писал, а потом ему все надоело и он просто решил приколоться. Разочарован.|[-8.1780205 -9.661463  -8.960631  ... -9.737055  -3.2297208 -6.373815 ]|3
97|Трудно быть богом - читать невозможно, тошнит. В детстве, и то бы не смог читать, а сейчас пяти наугад выбранных страниц достаточно - отвращение возникает. Что то Стругацкие вообще ...|[-7.8801513 -8.1663685 -8.200639  ... -7.7582006 -4.0604343 -8.053362 ]|3
98|Автор циничен, не по нашему менталитету ставит вопросы. На них не стоит и давать ответы. Они уже давно даны. И не требуют обсуждения. Иначе всё дозволено, и мы спускаемся в начало эволюции, как культурной, так и биологической. Должны же они соответствовать друг другу. Возможно, это чисто по протестантски (а может и по католически) - копаться в кишках и испражнениях ближних и своих и делать вид, что это тоже есть постижение объективной истиныю Однако всё это давно изучено специалистами и напечатано в книгах соответствующих. Обычно это книги по отклонениям и психологическим расстройствам.|[-7.8945613 -9.057368  -9.272911  ... -6.524824  -5.4121556 -6.871334 ]|3
99|"раньше мне нравился паланик - читаешь на одном дыхании, думаешь: ""вау, такого еще не было"" но это проходит. сейчас я уже не помню сюжета ни одной из его книг, зато хорошо помню, как он каждой строчкой свих произведений пытается доказать, какое дерьмо этот мир. ""посмотри, в каком дерьме ты живешь. какое дерьмо твои друзья. какое дерьмо ты сам. а я, я рассказываю людям правду. открываю им глаза. и это ставит меня выше тебя и того дерьма, в котором ты навсегда застрял. потому что я говорю об этом"" - примерно в этом главная идея все его книг сразу, хотя и может показаться, что нет. как правило, читатели понимают это, если им больше четырнадцати."|[-7.3159494 -9.588279  -8.670729  ... -7.040351  -3.5791295 -8.505922 ]|3
100|"Мне совсем не понравилось, фильм однозначно сильнее книги, хотя такое - большая редкость. Если уж совсем для любительниц ""Космополитан"" - то сойдет, но человеку более или менее любящему читать хорошие книги я бы не посоветовала."|[-8.152517  -8.5631895 -8.097484  ... -8.165641  -2.3702598 -5.530214 ]|3
101|так себе. не читать|[-8.504455  -9.175249  -7.96387   ... -6.4432554 -2.678796  -7.53724  ]|3
102|Мне так хвалили... Я честно прочла. Не поняла, даже обидно, но совсем не понравилось.|[-8.518733  -9.959295  -8.812482  ... -8.754477  -3.3585627 -9.141711 ]|3
103|Впечатления не оставляет абсолютно никакого... Накал страстей - полный ноль, добро и зло как будто и не борятся а вообще существуют параллельно друг от друга. Влюбленные не производят не малейшего впечатления: где ожидаемые противоположности? Как мог лучший агент ада вдруг стать таким добрым и начать переводить старушек через улицу?Рекомендуется читать в нежном подростковом возрасте, когда еще верится, что человек может полностью измениться влюбившись. Лично мне показалось бредом сивой кобылы в ясную ночь.|[-7.652604 -9.686618 -8.448073 ... -7.208795 -4.267991 -7.554851]|3
104|"Ну не знаю... Скучно, мрачно, затянуто. Славы ""Код да Винчи"" этой книге не сыскать никогда. ""Код"" читается на одном дыхании, ""Историка"" же заставляешь себя читать дальше, прям уговариваешь. Не поравилось! Аннотация к книге намного лучше, чем сама книга!"|[-8.42903   -8.778347  -9.155705  ... -8.742368  -5.2502666 -5.551105 ]|3
105|Такое ощущение, что автор сам запутался, что хотел сказать. Мучила недели 2 - это при том, что читаю быстро! Если ты не ярый поклонник даосизма - не читать, пожалей свое время (и нервы)!|[-8.082873  -8.672619  -8.499675  ... -9.222253  -4.157175  -5.5478477]|3
106|yeah, baby-doll! давайте перельем ей кровь в 17й раз за 16 минут! мою или вашу?|[-10.465522 -12.092505 -11.222365 ...  -8.736182  -6.885592 -12.542863]|3
107|Просто жуть какая-то! Во многих интервью Рената вспоминает о вгиковских профессорах, сетовавших на ее дурной, неправильный язык. Ретрограды, дескать, ничего не поняли. С этими страмодными преподами приходится согласиться: ЧИТАТЬ это нет никаких сил! Фильмы по ее сценариям лучше. Да, и эти эффектные смерти эффектных барышень! Как страшно жить...|[-6.960504 -8.219416 -7.929862 ... -8.496843 -4.005437 -6.660283]|3
108|Не слишком интересно. Все мои знакомые, читавшие эту книгу, с трудом дошли до конца. А я вообще не смогла. Первая история кажется какой-то искусственной, ненастоящей, высосанной из пальца. Из второй я прочитала главы три и отбросила. Очень мрачно.|[-8.092189 -8.895742 -8.820433 ... -8.195293 -4.264941 -6.592615]|3
109|"Воспользовавшись сервисом, не могла позволить себе не ответить на прочтенную книгу. Очень беспомощное сочинение, продиктованное желанием к сацибели и шашлыку иметь всегда еще и такой продукт как (жаль, что я не Лимонов) ""женщина"". Естественно, продукт иметь мнения не должен. Естественно, что безгласный продукт воспитает недумающих детей, но автора это не тревожит. Как любой восточный сатрап он считает главным в воспитании отнюдь не умение думать, которое способна привить только умеющая это делать мать, а клушечную ""заботу о детях"", и при этом возмущается отупением мира. Если кто-нибудь интересуется историей вопроса http://slovari.yandex.ru/dict/krugosvet/article/krugosvet/1/1010239.htm. Да и еще многое можно почитать. А то в книжечке Засулич вспомнили, а Абигейл Смит нет. И вывод М.Уолстонкрафт, что в обществе, где домашние обязанности не оплачиваются, будет сохраняться экономическая зависимость женщины от мужа, ничуть не оспаривается. Но ведь само собой разумеется, что раз негры хуже учатся, то им и на плантацию! И еще, в России 7% богатств находится в руках женщин, и в том числе, разнообразные жены олигархов, которые владеют богатствами только на бумаге. Ну и последнее, конечно, в дни МС женщина может не проконтролировать отчего она возмущена, гормон это или реальная обида, но и мужчины не способны ответить, реальна ли причина их агрессии в эти дни. Дело в том, что запах невозможно забить никаким дезодорантом, а умения понимать, что слышимый и неосознаваемый запах влияет на отношения нет, пожалуй, почти ни у одного мужчины."|[-7.3086615 -9.610142  -9.046882  ... -6.599996  -4.29304   -7.758735 ]|3
110|Язык этого произведения просто жуткий - с постоянными цитатами и ссылками. Из-за этого бурелома смысла написанного не видно вовсе. Кажется, что автор специально придает тексту такой замысловатый вид, чтобы было не заметно, что мысли плоские. И если в тексте одни цитаты, то где же то, что автор хотел нам сказать?|[-8.358053 -9.215852 -8.983194 ... -7.625716 -3.810602 -5.847497]|3
111|"МУТЬ. Герои постоянно видят пророчества и ноют, что ничегошенки не изменишь и всёравно пытаются что-то поменять. Меня всё это достало на половине. Особенно ""понравились"" дебильные диалоги. В остальном сюжет выглядит как штамп, ничего оригинального(кроме тех глупых пророчеств, ну её такую оригинальность). Итог - нелогичность героев, нелогичность их поступков, соотвественно нелогичность сюжета."|[-7.6992445 -9.108557  -8.964648  ... -9.723496  -3.7880318 -5.7465696]|3
112|"Насколько понравилась ""Империя ангелов""... А эту книгу нет сил даже ради интереса дочитать. Затянут сюжет. нет, больше Вербера читать не буду."|[-8.074724  -9.047094  -9.09825   ... -8.924647  -3.1794317 -5.196835 ]|3
113|"История оригинальна и заманчива для серии STALKER, не спорю - но исполнение! Книга написанна ужасно: стиль (автор все время пытается рассказать как читатель должен думать), порадок повествования, персонажи и их ""реальность"" (все урывками), POV прыгает с персонажа на персонаж! Можете прочитать 2-ю и последнюю главы и все поймете, на остальное не тратьте времени."|[ -7.619645  -8.725837  -8.862806 ... -10.454166  -4.242437  -6.744696]|3
114|ничего особенного, обычная муть.|"[ -8.298274  -10.821605   -8.712628  ...  -8.947088   -5.0352893
  -9.207701 ]"|3
115|Хрень полная! Похоже на переложенный на бумагу квест. Ходят, ищут, каакие-то подсказки неимоверные. Короче, поддерживаю amam - УЖОС!|[-8.090736  -8.653793  -8.075914  ... -9.09086   -4.9493628 -7.545451 ]|3
116|"Очередная хорошо раскрученная ""сенсация"" из серии ""А король-то голый"""|[-7.372044 -8.167351 -7.141204 ... -8.940857 -6.102588 -6.850781]|3
117|"Мне очень не понравились эти ""фантазии"" автора на тему Достоевского. Не могу не признать, что автор - мастер: яркие образы, запоминающиеся и описания... Правда, есть ляпы, вроде ""ветхозаветного Христа"". Но не это главное. Этот роман, написанный мастерски, хорошо подгаживает отношение к Федору Михайловичу, который совершенно этого не заслуживает. Эмоциональное воздействие этого произведения на читателя, на мой взгляд, не может не вызвать у него ощущение мерзости и брезгливости. Жалко, что главный герой - один из моих любимых писателей."|[-7.858222  -8.995047  -8.099855  ... -7.8436556 -4.0777183 -5.0745134]|3
118|скучно.|[ -9.931254 -10.80024   -8.823165 ... -12.212619  -4.44058   -7.339953]|3
119|Невыносимое чтение - еле-еле дочитала, и то - лучше бы я этого не делала. Книга о страхах ребенка, которое предстает перед нами в образе ужасного чудовища - зубной феи, которая толкает его на ужасные преступления и поступки. Не читайте.|[ -8.987456 -10.188484  -9.675071 ...  -7.980594  -4.004598  -7.416879]|3
120|Мрак! Если у вас избыток веселья - читайте.|"[ -9.852922   -9.681523   -9.735815  ... -11.859125   -4.8526077
  -7.772062 ]"|3
121|"Ужасный роман. Возможно я просто устал от наивности Лу, прочитанной во ""Власти женщины"" и ""Наивно. Супер"". Читать этот поток сознания очень трудно. К тому же такое ощущение что главный герой - это Калибан - главный герой ""Коллекционера"" Фаулза, только молодой."|[-7.4911017 -8.946718  -8.238571  ... -6.716147  -4.896749  -4.9485874]|3
122|даже не смогла дочитать...|[ -9.058949 -10.022103  -8.864437 ...  -8.551594  -4.629213  -6.746964]|3
123|пустышка, мыльный пузырь|[-11.452633 -12.21976   -9.810721 ... -11.327764  -9.150898  -7.557917]|3
124|"Роман напоминает руководство по... использованию каждой свободной минуты на удовлетворение... м-м-м... сексуальных... потребностей или не очень ""потребностей"". Не понравилось. Впрочем, не понравилось ни одно из произведений этого автора. Что называется, забыла, кто автор, а начинала читать и с удивлением замечала, что подобное я уже где-то видела. Пришлось запомнить имя автора, чтобы больше не читать его :)"|[-7.686273  -8.507673  -8.667035  ... -8.018462  -3.8929694 -8.218423 ]|3
125|После прочтения хочется смыть книгу в унитаз...|[-8.121332  -8.980357  -8.534353  ... -8.88339   -1.6513621 -7.996473 ]|3
126|Бредятина...так же как и первая книга... однако столько народу в метро зачитываются Минаевым!|[-7.5506306 -8.62509   -8.685     ... -7.6219335 -4.0041494 -6.474046 ]|3
127|отвратно. так не надо писать исторические романы.|"[ -9.681295  -11.466241  -10.574511  ... -11.042553   -6.6576934
  -8.149027 ]"|3
128|не стоит потраченного времени... неприятное чтиво|[-7.34885   -8.672484  -9.158515  ... -8.173139  -3.608094  -5.5755544]|3
129|"Прочитала под воздействием восторженных отзывов зникомых. Книга разочаровала. Ничего нового я в ней не нашла - похоже на множество таких же произведений и книг по эзотерике.Есть более серьезные и глубокие книги на эту тему, после которых ""Алхимк"" вопринимается как наивные рассуждения ребенка."|[-8.32883   -9.1801195 -8.466545  ... -6.02733   -5.348951  -4.657195 ]|3
130|Совсем не интересно и не понятно зачем было опубликовывать этот дневник? На мой взгляд просто потраченное впустую время|"[ -9.826193  -11.061824   -9.794566  ...  -8.311516   -5.8758893
  -8.840992 ]"|3
131|Прошлые книги были намного интереснее, эта же разочаровала. Жаль потраченных денег и времени.|[-8.286476  -9.678346  -9.588804  ... -8.401103  -1.9722759 -5.3510094]|3
132|Домучила книгу кое-как. Думаю Марининой пора писать трактаты по психологии, а не детективные романы. В последнее время читать ее произведения откровенно скучно и депрессивно.|"[ -7.941073   -8.523532   -8.459119  ... -10.325957   -4.7002172
  -7.183649 ]"|3
133|Читала и удивлялась, как можно было написать такой бред. Претендует на юмористическое фэнтези или даже пародию на фэнтези, но не смешно совершенно. Не рекомендую тем, кто ценит свое время.|[-9.293398  -9.811824  -9.805388  ... -8.767733  -4.564788  -7.2083964]|3
134|в книге много подтасовок, натяжек и передёргиваний. Как говорится, если факты не подходят к теории, тем хуже для фактов|[-7.7242002 -9.317865  -8.744643  ... -9.144915  -3.7613568 -5.67125  ]|3
135|мрачно. непонятно. и слишком затянуто.|"[-10.733937  -12.986743  -10.721315  ... -10.565084   -7.7561846
  -5.8551736]"|3
136|слишком много цинизма...по делу и без дела!:(|[-9.556332 -9.886338 -9.97104  ... -8.363403 -4.916122 -5.581183]|3
137|Фильм намного лучше, хоть и малобюджетный.|[-7.4003386 -7.59114   -7.1399627 ... -7.513879  -0.9806021 -2.886108 ]|3
138|на мой взгляд одна из худших книг автора, еле дочитала до конца|[-8.08968  -9.330249 -8.217325 ... -8.798736 -2.971522 -4.710262]|3
139|Взяла эту книгу в библиотеке. Толстая - больше 500 страниц - лабуда. Но для дачи убить время подойдет. Если бы я была бизнес-леди, я бы не зачитывалась этой книгой. Чтобы читать это, нужна уйма ненужного, бесполезного времени. :)|[-7.8375154 -8.284438  -8.747718  ... -9.908254  -2.9104798 -7.45118  ]|3
140|книга не произвела впечаления|[-10.864902 -12.391434 -12.085915 ... -11.367469  -5.535679  -6.28088 ]|3
141|книга о переживаниях человека с возрастным андрогенным дефицитом. когда деньги и тщеславие - это на первом месте - не зря примазался сейчас к режиму. зря я на него деньги истратил. даже за копейки букинист не берет|[-7.8019986 -9.293943  -8.907555  ... -8.840658  -4.8868146 -8.476918 ]|3
142|Банальщина. Обложка подкачала - ещё бы розовый куст и т. д.|"[ -9.0882    -10.721128  -10.6611    ...  -8.98104    -5.7370186
  -8.171479 ]"|3
143|Польстившись на отзывы, купила сразу несколько книг Перфиловой. И ни одна не понравилась. Захотелось вручить себе самой медаль за отвагу после того как прочитала несколько.|[-7.425707 -8.518635 -8.742813 ... -7.694854 -4.469858 -7.109516]|3
144|Имхо, уж лучше прочесть Дашу Донцову... там хоть амбиций нет... после этого опуса даже не стала скачивать код да винчи.|[-7.8855643 -9.235597  -9.231202  ... -9.718432  -3.8322582 -7.873642 ]|3
145|Думала будет намного (намного) лучше.Ошиблась. Собчак и Робски круче написали!|"[ -8.987016   -9.960684   -9.513826  ... -12.160818   -2.8796623
  -6.835389 ]"|3
146|Тупее названья не придумать. Как корабль назовёшь, так он, блин(прим. авт.), и поплывёт.|[-8.962     -9.181502  -8.49817   ... -8.154913  -5.4134736 -8.175366 ]|3
147|Название обманчиво интригующее, нудный сюжет, нудные герои... он сказал, она сказала, слишком много скучных диалогов, что в конце не знаю - не дочитала!|[ -8.430101 -10.93095   -9.346961 ...  -9.06088   -4.035585  -7.971077]|3
148|"Книга не понравилась. Ожидала совсем другого. После прочтения осталось какое-то неприятное странное ощущение. Дле детской сказки слишком ""сальный"" юмор. А для взрослой фэнтези - слишком глупая и очень уж сказочная..."|[-7.652917  -9.172107  -8.102783  ... -9.812355  -3.8800023 -7.0398655]|3
149|"А.Аксельрод История Америки. Третье издание. Уважаемый господин Аксельрод! Вашей книги предпослан оригинальный эпиграф: ""Больше вы никогда не почувствуете себя идиотом"" К сожаленеию это не так. Я купил Вашу книгу, просмотрел несколько разделов и понял что я идиот потому, что купил вашу книгу. Это не история Америки, а отдельные заметки по истории Америки. Истории ведь в этой книге нет. Но я обязательно куплю четвертое издание. Надеюсь оно будет лучше С уважениемм Григорий Эпштейн"|[-7.456864  -8.592905  -8.664579  ... -7.682458  -3.773532  -7.7358932]|3
150|Сначало книга была даже интересной , а потом пошло сплошное восхваление т.н. либеральной демократии, абсолютно бездумное и безапелляционное. Автор производит впечатление человека узких взглядов. Брррррррррррррр!|[-7.5459323 -8.077862  -7.927725  ... -7.36666   -4.4067745 -7.0322   ]|3
151|"Как и большинство оставивших здесь свои впечатления - разочаровалась..... даже никаких мыслей нет для того, что бы написать то, о чем думалось во время прочтения ""Ведьмы с Портебелло"". Очень разочарована не только в книге, но и в авторе самом....возникло впечатление, что либо автор просто уже исписался.... либо писал в жуткой депрессии, возникающие мысли о женщине, о смысле жизни, и о магии..... но нормлаьному человеку (если кому понравилось, не обижайтесь ради бога) понять эту чушь просто невозможно....."|[-8.909367  -9.831445  -9.432379  ... -9.0156555 -4.782563  -7.9515343]|3
152|А мне данный опус об арктических тараканах показался бредом.|"[ -9.076745  -10.013291   -9.418944  ...  -7.4634237  -3.7617693
  -7.8159614]"|3
153|Ох, очень нудно, прочла только из упорства, так как купила.|[-7.9729223 -9.223609  -9.169056  ... -9.627534  -3.5110312 -7.7667193]|3
154|после прочтения 1/3 части совсем запуталась и не стала дочитывать, хотя автор мною любима.|[-7.6484313 -7.870594  -7.395216  ... -8.205794  -3.1164482 -4.1354027]|3
155|"Книга не понравилась. Конечно, местами было интересно, но в целом не понравилось. Во-первых, не совсем понятно какое отношение события 1-го века н.э. имеют к происходящему в 20 веке. Да и описание тех далеких событий несколько скучное... Во-вторых, ""очень сложные семейные отношения"" главной героини и правда настолько сложны, что в какой-то момент вообще перестаешь понимать - кто кому и кем приходится. В-третьих, слабая концовка. В общем, как я уже заметила, книга слабая, а жаль, после романа ""Восемь"" я ожидала от Кэтрин Нэвилл большего. Хотя ""Магический круг"" был написан раньше. Единственное, что понравилось - это наличие довольно необычных для художественного произведения иллюстраций (всяких загадок, шифров, карт). Но в романе это не главное."|[-8.326839  -9.321183  -9.467405  ... -8.793667  -2.8418334 -6.459445 ]|3
156|Далеко не лучшее произведение Стивена Кинга. Страшно, не спорю. Но в конце меня не покидало желание пристукнуть чем-нибудь героя. Вывод, сделанный из книги: даже опыт - не всегда опыт. Почему-то некоторые люди действительно любят все время наступать на одни и те же грабли... В общем, за своеволие и самонадеянность надо платить. Тем более, что речь идет о смерти.|"[ -8.166983  -10.335636  -10.255598  ...  -8.995876   -4.5857005
  -7.169867 ]"|3
157|"Старикашка выдохся. Как жаль, это был один из моих любимых авторов. И на переводчика не спишешь неудачу - плохих переводов Вебера я ещё не встречал. Согласен с Монстера: ""Кровавая купель"" Саймона Кларка лучше несоразмерно. А ""Мобильник"" вошел в неудачные попытки постапокалиптического жанра."|[-7.567441  -8.284105  -7.9597826 ... -8.782015  -4.032338  -5.4106765]|3
158|"Наверное, Кинг - возрастной писатель. Очень нравился в детстве, но потом, с прочтением большого количества нормальной литературы, автоматически перешел в разряд чтива. Язык простенький, вещи похожие. Он сам говорил в интервью, что бесплатно не напишет ни строчки. Шлепает одну за другой свои книжонки и деньги заколачивает. ""Писатель""..."|[-6.693976  -8.53545   -8.274428  ... -9.747874  -5.5712886 -6.2799635]|3
159|Совершенно в пустую потраченное время. Удивило то, что барышня не без таланта, но ерунда редкая.|[-7.6815987 -9.303123  -9.2208395 ... -9.961455  -5.2617755 -7.204734 ]|3
160|"Такое чувство, что высосано из пальца, хотя с литературной точки читается легко, но вызывает даже не улыбку, а усмешку над инфантильностью автора. Соглашусь с Михаилом, что ;Автор позиционирует себя как высоко моральную личность, а остальные по сравнению с ним просто грязное быдло. Однако, следует учитывать факты... Эта ""высокоморальная"" личность разрушает семью, позволяя себе встречаться с замужней женщиной, сидит два года за кражу сумки на вокзале, кидает людей на деньги и оскорбляет в своей книжонке людей. И становится понятна ненависть ментов и омоновцев к ""чуркам"" (так себя автор и называет)."|[-7.3251495 -8.619224  -9.033421  ... -7.7825627 -4.678137  -5.1675744]|3
161|"Хотите читать умные книги на эту тематику - читайте ""Сиддхартху"" Гессе. Все-таки книги Коэльо - это продукт полупереваренный уже, разжеванный автором до неприличия."|[-7.4781394 -8.330873  -8.086555  ... -7.842381  -3.952046  -6.5197554]|3
162|нудно и предсказуему. в середине книги уже было понятно чем кончится|[-8.5319    -8.3496    -7.3598633 ... -7.626667  -2.1749294 -7.8140807]|3
163|не понравилось. кроме того я слушала аудио-книгу и обратила внимание на очень смешную вещь: до взлома системы осталось 3 минуты, а диалоги, которые читают актеры, минут на 15. в общем последние главы дослушивала в муках.|[-8.203425  -8.51359   -8.960548  ... -8.588698  -5.0018826 -8.554342 ]|3
164|Начиталась восторженных откликов на этом сайте, прочла до середины, трижды засыпала на работе, читая это... Вывод: абсолютно бессодержательная нудятина, на мой взгляд :)|[-7.85548   -8.986338  -8.832846  ... -9.235516  -5.2038317 -6.0230274]|3
165|"По книге можно делать статью ""Ксенофобия в советском историческом романе""))) да и по истории 3 с минусом, так что, судите сами"|[-6.712818  -7.110217  -6.803194  ... -6.6093917 -0.905853  -5.2956014]|3
166|Купился на аннотацию. Нет, ну нельзя же так! Магические уровни магов, детально расписанные эффекты заклинаний - компьютерная игра, ей богу! Ну и сюжет соотвествует середнячковой игре - ни то ни се. Додумывать нечего, впечатлений никаких. Хотя наверно и для этой книги найдутся читатели.|[-7.020052  -7.746401  -8.3843975 ... -7.9803925 -4.7803764 -6.4729257]|3
167|"Не интересно,не несет никакой смысловой нагрузки.""Дьявол носит Прада"" было бы достаточно....."|[-9.665261  -9.622641  -9.257541  ... -7.499063  -6.745128  -7.7520013]|3
168|может быть я человек чёрствый или ещё именно у меня какие-то проблемы, но изложение хроники событий меня оставило равнодушным - читать очень скучно|[-9.73194   -9.8554735 -9.900412  ... -8.934696  -5.3736606 -6.9361978]|3
169|"я нашла книгу довольно плоской, сказывается полное не знание автором материала.......такое ощущение, что книга написана по чужим расскзам, а не по собственным ощущениям........ что касается стиля - типичный дамский романчик.... есть юмор, есть ""большие проблемы"" и хэппи энд для всех..... на мой взгляд, примитивно"|[-7.943186  -9.118086  -9.155053  ... -8.919605  -4.319385  -7.1916165]|3
170|Нудная аллегория о черте, домогающемся бумажной души автора (на кой черт она ему нужна?). См. Томлинсон Киплинга.|[-7.645394  -8.471228  -7.7356734 ... -7.23023   -3.0872393 -6.4668846]|3
171|Очень средне, дочитать так и не смогла. Читать тем, кому некуда деть свободное время|[-7.7080727 -8.733477  -8.723315  ... -7.1058073 -5.9718175 -6.199077 ]|3
172|"Самолюбование затмило все жизненные трагедии. Нет доброты и искренности ""Аплодисментов"". На титульных фотографиях вылитая Сергей Зверев."|[-8.411838  -9.509618  -8.882879  ... -8.057996  -6.0013843 -4.844426 ]|3
173|Самая интересная в этой книге сюжетная линия - трагедия любви главного героя. Остальное, может быть и было актуально в самом начале 90-х, но сейчас все это читать совсем скучно.|"[ -9.558781  -10.04364    -9.824863  ... -10.419662   -3.563729
  -6.6147776]"|3
